"city","week_date","year","month","chart_rank","demand_score","song","artist","track_id","artist_id","artist_genres","primary_genre"
"Ottawa","2025-01-02",2025,"Jan",1,100,"That’s So True","Gracie Abrams","","","",""
"Ottawa","2025-01-02",2025,"Jan",2,99,"A Bar Song (Tipsy)","Shaboozey","","","",""
"Ottawa","2025-01-02",2025,"Jan",3,98,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"Ottawa","2025-01-02",2025,"Jan",4,97,"APT.","ROSÉ, Bruno Mars","","","",""
"Ottawa","2025-01-02",2025,"Jan",5,96,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","","","",""
"Ottawa","2025-01-02",2025,"Jan",6,95,"Beautiful Things","Benson Boone","","","",""
"Ottawa","2025-01-02",2025,"Jan",7,94,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"Ottawa","2025-01-02",2025,"Jan",8,93,"Lose Control","Teddy Swims","","","",""
"Ottawa","2025-01-02",2025,"Jan",9,92,"Good Luck, Babe!","Chappell Roan","","","",""
"Ottawa","2025-01-02",2025,"Jan",10,91,"Espresso","Sabrina Carpenter","","","",""
"Ottawa","2025-01-02",2025,"Jan",11,90,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"Ottawa","2025-01-02",2025,"Jan",12,89,"Messy","Lola Young","","","",""
"Ottawa","2025-01-02",2025,"Jan",13,88,"Stick Season","Noah Kahan","","","",""
"Ottawa","2025-01-02",2025,"Jan",14,87,"Austin (Boots Stop Workin')","Dasha","","","",""
"Ottawa","2025-01-02",2025,"Jan",15,86,"Sailor Song","Gigi Perez","","","",""
"Ottawa","2025-01-02",2025,"Jan",16,85,"Taste","Sabrina Carpenter","","","",""
"Ottawa","2025-01-02",2025,"Jan",17,84,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"Ottawa","2025-01-02",2025,"Jan",18,83,"Love Somebody","Morgan Wallen","","","",""
"Ottawa","2025-01-02",2025,"Jan",19,82,"Too Sweet","Hozier","","","",""
"Ottawa","2025-01-02",2025,"Jan",20,81,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan, Kacey Musgraves","","","",""
"Ottawa","2025-01-02",2025,"Jan",21,80,"I Love You, I'm Sorry","Gracie Abrams","","","",""
"Ottawa","2025-01-02",2025,"Jan",22,79,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"Ottawa","2025-01-02",2025,"Jan",23,78,"Last Night","Morgan Wallen","","","",""
"Ottawa","2025-01-02",2025,"Jan",24,77,"Something in the Orange","Zach Bryan","","","",""
"Ottawa","2025-01-02",2025,"Jan",25,76,"Please Please Please","Sabrina Carpenter","","","",""
"Ottawa","2025-01-02",2025,"Jan",26,75,"Ain't No Love In Oklahoma (From Twisters: The Album)","Luke Combs","","","",""
"Ottawa","2025-01-02",2025,"Jan",27,74,"Cowgirls","Morgan Wallen, ERNEST","","","",""
"Ottawa","2025-01-02",2025,"Jan",28,73,"Stargazing","Myles Smith","","","",""
"Ottawa","2025-01-02",2025,"Jan",29,72,"Pink Skies","Zach Bryan","","","",""
"Ottawa","2025-01-02",2025,"Jan",30,71,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"Ottawa","2025-01-02",2025,"Jan",31,70,"HOT TO GO!","Chappell Roan","","","",""
"Ottawa","2025-01-02",2025,"Jan",32,69,"Not Like Us","Kendrick Lamar","","","",""
"Ottawa","2025-01-02",2025,"Jan",33,68,"MILLION DOLLAR BABY","Tommy Richman","","","",""
"Ottawa","2025-01-02",2025,"Jan",34,67,"Miles On It","Marshmello, Kane Brown","","","",""
"Ottawa","2025-01-02",2025,"Jan",35,66,"Don't Stop Believin' (2022 Remaster)","Journey","","","",""
"Ottawa","2025-01-02",2025,"Jan",36,65,"Indigo (feat. Avery Anna)","Sam Barber, Avery Anna","","","",""
"Ottawa","2025-01-02",2025,"Jan",37,64,"Heading South","Zach Bryan","","","",""
"Ottawa","2025-01-02",2025,"Jan",38,63,"Fast Car","Luke Combs","","","",""
"Ottawa","2025-01-02",2025,"Jan",39,62,"squabble up","Kendrick Lamar","","","",""
"Ottawa","2025-01-02",2025,"Jan",40,61,"Take Me to Church","Hozier","","","",""
"Ottawa","2025-01-02",2025,"Jan",41,60,"Scared To Start","Michael Marcagi","","","",""
"Ottawa","2025-01-02",2025,"Jan",42,59,"Cruel Summer","Taylor Swift","","","",""
"Ottawa","2025-01-02",2025,"Jan",43,58,"When It Rains It Pours","Luke Combs","","","",""
"Ottawa","2025-01-02",2025,"Jan",44,57,"WILDFLOWER","Billie Eilish","","","",""
"Ottawa","2025-01-02",2025,"Jan",45,56,"on one tonight","Gunna","","","",""
"Ottawa","2025-01-02",2025,"Jan",46,55,"Pink Pony Club","Chappell Roan","","","",""
"Ottawa","2025-01-02",2025,"Jan",47,54,"Mr. Brightside","The Killers","","","",""
"Ottawa","2025-01-02",2025,"Jan",48,53,"I Don't Wanna Wait","David Guetta, OneRepublic","","","",""
"Ottawa","2025-01-02",2025,"Jan",49,52,"No Pole","Don Toliver","","","",""
"Ottawa","2025-01-02",2025,"Jan",50,51,"Riptide","Vance Joy","","","",""
"Ottawa","2025-01-02",2025,"Jan",51,50,"BMF","SZA","","","",""
"Ottawa","2025-01-02",2025,"Jan",52,49,"For 30 (with Kendrick Lamar)","SZA, Kendrick Lamar","","","",""
"Ottawa","2025-01-02",2025,"Jan",53,48,"greedy","Tate McRae","","","",""
"Ottawa","2025-01-02",2025,"Jan",54,47,"Lies Lies Lies","Morgan Wallen","","","",""
"Ottawa","2025-01-02",2025,"Jan",55,46,"Viva La Vida","Coldplay","","","",""
"Ottawa","2025-01-02",2025,"Jan",56,45,"we can't be friends (wait for your love)","Ariana Grande","","","",""
"Ottawa","2025-01-02",2025,"Jan",57,44,"WHATCHU KNO ABOUT ME (feat. Sexyy Red)","GloRilla, Sexyy Red","","","",""
"Ottawa","2025-01-02",2025,"Jan",58,43,"Flowers","Miley Cyrus","","","",""
"Ottawa","2025-01-02",2025,"Jan",59,42,"Dreams - 2004 Remaster","Fleetwood Mac","","","",""
"Ottawa","2025-01-02",2025,"Jan",60,41,"Sweater Weather","The Neighbourhood","","","",""
"Ottawa","2025-01-02",2025,"Jan",61,40,"Tennessee Whiskey","Chris Stapleton","","","",""
"Ottawa","2025-01-02",2025,"Jan",62,39,"Carry You Home","Alex Warren","","","",""
"Ottawa","2025-01-02",2025,"Jan",63,38,"DEVIL YOU KNOW","Tyler Braden","","","",""
"Ottawa","2025-01-02",2025,"Jan",64,37,"Iris","The Goo Goo Dolls","","","",""
"Ottawa","2025-01-02",2025,"Jan",65,36,"Wind Up Missin’ You","Tucker Wetmore","","","",""
"Ottawa","2025-01-02",2025,"Jan",66,35,"Belong Together","Mark Ambor","","","",""
"Ottawa","2025-01-02",2025,"Jan",67,34,"The Door","Teddy Swims","","","",""
"Ottawa","2025-01-02",2025,"Jan",68,33,"Close To You","Gracie Abrams","","","",""
"Ottawa","2025-01-02",2025,"Jan",69,32,"How You Remind Me","Nickelback","","","",""
"Ottawa","2025-01-02",2025,"Jan",70,31,"Thinkin’ Bout Me","Morgan Wallen","","","",""
"Ottawa","2025-01-02",2025,"Jan",71,30,"Yellow","Coldplay","","","",""
"Ottawa","2025-01-02",2025,"Jan",72,29,"I'm Good (Blue)","David Guetta, Bebe Rexha","","","",""
"Ottawa","2025-01-02",2025,"Jan",73,28,"Can't Hold Us (feat. Ray Dalton)","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","","","",""
"Ottawa","2025-01-02",2025,"Jan",74,27,"Bad Dreams","Teddy Swims","","","",""
"Ottawa","2025-01-02",2025,"Jan",75,26,"Lovin On Me","Jack Harlow","","","",""
"Ottawa","2025-01-02",2025,"Jan",76,25,"Rock and A Hard Place","Bailey Zimmerman","","","",""
"Ottawa","2025-01-02",2025,"Jan",77,24,"Fortnight (feat. Post Malone)","Taylor Swift, Post Malone","","","",""
"Ottawa","2025-01-02",2025,"Jan",78,23,"Bed Chem","Sabrina Carpenter","","","",""
"Ottawa","2025-01-02",2025,"Jan",79,22,"Have You Ever Seen The Rain","Creedence Clearwater Revival","","","",""
"Ottawa","2025-01-02",2025,"Jan",80,21,"Beautiful Crazy","Luke Combs","","","",""
"Ottawa","2025-01-02",2025,"Jan",81,20,"Slow It Down","Benson Boone","","","",""
"Ottawa","2025-01-02",2025,"Jan",82,19,"Numb","Linkin Park","","","",""
"Ottawa","2025-01-02",2025,"Jan",83,18,"Kill Bill","SZA","","","",""
"Ottawa","2025-01-02",2025,"Jan",84,17,"Yeah! (feat. Lil Jon & Ludacris)","USHER, Lil Jon, Ludacris","","","",""
"Ottawa","2025-01-02",2025,"Jan",85,16,"Guess featuring billie eilish","Charli xcx, Billie Eilish","","","",""
"Ottawa","2025-01-02",2025,"Jan",86,15,"Every Breath You Take","The Police","","","",""
"Ottawa","2025-01-02",2025,"Jan",87,14,"You Should Probably Leave","Chris Stapleton","","","",""
"Ottawa","2025-01-02",2025,"Jan",88,13,"NIGHTS LIKE THIS","The Kid LAROI","","","",""
"Ottawa","2025-01-02",2025,"Jan",89,12,"Snooze","SZA","","","",""
"Ottawa","2025-01-02",2025,"Jan",90,11,"Timber","Pitbull, Kesha","","","",""
"Ottawa","2025-01-02",2025,"Jan",91,10,"End of Beginning","Djo","","","",""
"Ottawa","2025-01-02",2025,"Jan",92,9,"FE!N (feat. Playboi Carti)","Travis Scott, Playboi Carti","","","",""
"Ottawa","2025-01-02",2025,"Jan",93,8,"Danza Kuduro","Don Omar, Lucenzo","","","",""
"Ottawa","2025-01-02",2025,"Jan",94,7,"Locked out of Heaven","Bruno Mars","","","",""
"Ottawa","2025-01-02",2025,"Jan",95,6,"The Emptiness Machine","Linkin Park","","","",""
"Ottawa","2025-01-02",2025,"Jan",96,5,"you look like you love me (feat. Riley Green)","Ella Langley, Riley Green","","","",""
"Ottawa","2025-01-02",2025,"Jan",97,4,"A Lot More Free","Max McNown","","","",""
"Ottawa","2025-01-02",2025,"Jan",98,3,"Wasted On You","Morgan Wallen","","","",""
"Ottawa","2025-01-02",2025,"Jan",99,2,"Gang Baby","NLE Choppa","","","",""
"Ottawa","2025-01-02",2025,"Jan",100,1,"Sun to Me","Zach Bryan","","","",""
"Ottawa","2025-01-09",2025,"Jan",1,100,"That’s So True","Gracie Abrams","","","",""
"Ottawa","2025-01-09",2025,"Jan",2,99,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"Ottawa","2025-01-09",2025,"Jan",3,98,"A Bar Song (Tipsy)","Shaboozey","","","",""
"Ottawa","2025-01-09",2025,"Jan",4,97,"APT.","ROSÉ, Bruno Mars","","","",""
"Ottawa","2025-01-09",2025,"Jan",5,96,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","","","",""
"Ottawa","2025-01-09",2025,"Jan",6,95,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"Ottawa","2025-01-09",2025,"Jan",7,94,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"Ottawa","2025-01-09",2025,"Jan",8,93,"Lose Control","Teddy Swims","","","",""
"Ottawa","2025-01-09",2025,"Jan",9,92,"Messy","Lola Young","","","",""
"Ottawa","2025-01-09",2025,"Jan",10,91,"Smile","Morgan Wallen","","","",""
"Ottawa","2025-01-09",2025,"Jan",11,90,"Good Luck, Babe!","Chappell Roan","","","",""
"Ottawa","2025-01-09",2025,"Jan",12,89,"Sailor Song","Gigi Perez","","","",""
"Ottawa","2025-01-09",2025,"Jan",13,88,"Stick Season","Noah Kahan","","","",""
"Ottawa","2025-01-09",2025,"Jan",14,87,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"Ottawa","2025-01-09",2025,"Jan",15,86,"Beautiful Things","Benson Boone","","","",""
"Ottawa","2025-01-09",2025,"Jan",16,85,"Love Somebody","Morgan Wallen","","","",""
"Ottawa","2025-01-09",2025,"Jan",17,84,"Espresso","Sabrina Carpenter","","","",""
"Ottawa","2025-01-09",2025,"Jan",18,83,"Taste","Sabrina Carpenter","","","",""
"Ottawa","2025-01-09",2025,"Jan",19,82,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"Ottawa","2025-01-09",2025,"Jan",20,81,"I Love You, I'm Sorry","Gracie Abrams","","","",""
"Ottawa","2025-01-09",2025,"Jan",21,80,"Too Sweet","Hozier","","","",""
"Ottawa","2025-01-09",2025,"Jan",22,79,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"Ottawa","2025-01-09",2025,"Jan",23,78,"Indigo (feat. Avery Anna)","Sam Barber, Avery Anna","","","",""
"Ottawa","2025-01-09",2025,"Jan",24,77,"Pink Skies","Zach Bryan","","","",""
"Ottawa","2025-01-09",2025,"Jan",25,76,"Last Night","Morgan Wallen","","","",""
"Ottawa","2025-01-09",2025,"Jan",26,75,"Austin (Boots Stop Workin')","Dasha","","","",""
"Ottawa","2025-01-09",2025,"Jan",27,74,"BMF","SZA","","","",""
"Ottawa","2025-01-09",2025,"Jan",28,73,"Cowgirls","Morgan Wallen, ERNEST","","","",""
"Ottawa","2025-01-09",2025,"Jan",29,72,"Stargazing","Myles Smith","","","",""
"Ottawa","2025-01-09",2025,"Jan",30,71,"Please Please Please","Sabrina Carpenter","","","",""
"Ottawa","2025-01-09",2025,"Jan",31,70,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan, Kacey Musgraves","","","",""
"Ottawa","2025-01-09",2025,"Jan",32,69,"No Pole","Don Toliver","","","",""
"Ottawa","2025-01-09",2025,"Jan",33,68,"Fast Car","Luke Combs","","","",""
"Ottawa","2025-01-09",2025,"Jan",34,67,"Ain't No Love In Oklahoma (From Twisters: The Album)","Luke Combs","","","",""
"Ottawa","2025-01-09",2025,"Jan",35,66,"Don't Stop Believin' (2022 Remaster)","Journey","","","",""
"Ottawa","2025-01-09",2025,"Jan",36,65,"squabble up","Kendrick Lamar","","","",""
"Ottawa","2025-01-09",2025,"Jan",37,64,"When It Rains It Pours","Luke Combs","","","",""
"Ottawa","2025-01-09",2025,"Jan",38,63,"Take Me to Church","Hozier","","","",""
"Ottawa","2025-01-09",2025,"Jan",39,62,"Slow It Down","Benson Boone","","","",""
"Ottawa","2025-01-09",2025,"Jan",40,61,"WILDFLOWER","Billie Eilish","","","",""
"Ottawa","2025-01-09",2025,"Jan",41,60,"Something in the Orange","Zach Bryan","","","",""
"Ottawa","2025-01-09",2025,"Jan",42,59,"Miles On It","Marshmello, Kane Brown","","","",""
"Ottawa","2025-01-09",2025,"Jan",43,58,"Heading South","Zach Bryan","","","",""
"Ottawa","2025-01-09",2025,"Jan",44,57,"Not Like Us","Kendrick Lamar","","","",""
"Ottawa","2025-01-09",2025,"Jan",45,56,"on one tonight","Gunna","","","",""
"Ottawa","2025-01-09",2025,"Jan",46,55,"Wake Me Up","Avicii","","","",""
"Ottawa","2025-01-09",2025,"Jan",47,54,"Carry You Home","Alex Warren","","","",""
"Ottawa","2025-01-09",2025,"Jan",48,53,"HOT TO GO!","Chappell Roan","","","",""
"Ottawa","2025-01-09",2025,"Jan",49,52,"The Door","Teddy Swims","","","",""
"Ottawa","2025-01-09",2025,"Jan",50,51,"Pink Pony Club","Chappell Roan","","","",""
"Ottawa","2025-01-09",2025,"Jan",51,50,"Mr. Brightside","The Killers","","","",""
"Ottawa","2025-01-09",2025,"Jan",52,49,"Sweater Weather","The Neighbourhood","","","",""
"Ottawa","2025-01-09",2025,"Jan",53,48,"Dum, Dumb, and Dumber (with Young Thug & Future)","Lil Baby, Young Thug, Future","","","",""
"Ottawa","2025-01-09",2025,"Jan",54,47,"MILLION DOLLAR BABY","Tommy Richman","","","",""
"Ottawa","2025-01-09",2025,"Jan",55,46,"Viva La Vida","Coldplay","","","",""
"Ottawa","2025-01-09",2025,"Jan",56,45,"Wind Up Missin’ You","Tucker Wetmore","","","",""
"Ottawa","2025-01-09",2025,"Jan",57,44,"Where the Wild Things Are","Luke Combs","","","",""
"Ottawa","2025-01-09",2025,"Jan",58,43,"I Don't Wanna Wait","David Guetta, OneRepublic","","","",""
"Ottawa","2025-01-09",2025,"Jan",59,42,"How You Remind Me","Nickelback","","","",""
"Ottawa","2025-01-09",2025,"Jan",60,41,"Can't Hold Us (feat. Ray Dalton)","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","","","",""
"Ottawa","2025-01-09",2025,"Jan",61,40,"DEVIL YOU KNOW","Tyler Braden","","","",""
"Ottawa","2025-01-09",2025,"Jan",62,39,"Lies Lies Lies","Morgan Wallen","","","",""
"Ottawa","2025-01-09",2025,"Jan",63,38,"Rock and A Hard Place","Bailey Zimmerman","","","",""
"Ottawa","2025-01-09",2025,"Jan",64,37,"Belong Together","Mark Ambor","","","",""
"Ottawa","2025-01-09",2025,"Jan",65,36,"Tennessee Whiskey","Chris Stapleton","","","",""
"Ottawa","2025-01-09",2025,"Jan",66,35,"Beautiful Crazy","Luke Combs","","","",""
"Ottawa","2025-01-09",2025,"Jan",67,34,"Cruel Summer","Taylor Swift","","","",""
"Ottawa","2025-01-09",2025,"Jan",68,33,"Bad Dreams","Teddy Swims","","","",""
"Ottawa","2025-01-09",2025,"Jan",69,32,"Close To You","Gracie Abrams","","","",""
"Ottawa","2025-01-09",2025,"Jan",70,31,"Dreams - 2004 Remaster","Fleetwood Mac","","","",""
"Ottawa","2025-01-09",2025,"Jan",71,30,"we can't be friends (wait for your love)","Ariana Grande","","","",""
"Ottawa","2025-01-09",2025,"Jan",72,29,"Yellow","Coldplay","","","",""
"Ottawa","2025-01-09",2025,"Jan",73,28,"Like Him (feat. Lola Young)","Tyler, The Creator, Lola Young","","","",""
"Ottawa","2025-01-09",2025,"Jan",74,27,"Tweaker","GELO","","","",""
"Ottawa","2025-01-09",2025,"Jan",75,26,"Numb","Linkin Park","","","",""
"Ottawa","2025-01-09",2025,"Jan",76,25,"Flowers","Miley Cyrus","","","",""
"Ottawa","2025-01-09",2025,"Jan",77,24,"Thinkin’ Bout Me","Morgan Wallen","","","",""
"Ottawa","2025-01-09",2025,"Jan",78,23,"For 30 (with Kendrick Lamar)","SZA, Kendrick Lamar","","","",""
"Ottawa","2025-01-09",2025,"Jan",79,22,"You Should Probably Leave","Chris Stapleton","","","",""
"Ottawa","2025-01-09",2025,"Jan",80,21,"greedy","Tate McRae","","","",""
"Ottawa","2025-01-09",2025,"Jan",81,20,"Bed Chem","Sabrina Carpenter","","","",""
"Ottawa","2025-01-09",2025,"Jan",82,19,"WHATCHU KNO ABOUT ME (feat. Sexyy Red)","GloRilla, Sexyy Red","","","",""
"Ottawa","2025-01-09",2025,"Jan",83,18,"Kill Bill","SZA","","","",""
"Ottawa","2025-01-09",2025,"Jan",84,17,"Gang Baby","NLE Choppa","","","",""
"Ottawa","2025-01-09",2025,"Jan",85,16,"NIGHTS LIKE THIS","The Kid LAROI","","","",""
"Ottawa","2025-01-09",2025,"Jan",86,15,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA","","","",""
"Ottawa","2025-01-09",2025,"Jan",87,14,"See You Again (feat. Kali Uchis)","Tyler, The Creator, Kali Uchis","","","",""
"Ottawa","2025-01-09",2025,"Jan",88,13,"End of Beginning","Djo","","","",""
"Ottawa","2025-01-09",2025,"Jan",89,12,"Snooze","SZA","","","",""
"Ottawa","2025-01-09",2025,"Jan",90,11,"Quitter","Cameron Whitcomb","","","",""
"Ottawa","2025-01-09",2025,"Jan",91,10,"Scared To Start","Michael Marcagi","","","",""
"Ottawa","2025-01-09",2025,"Jan",92,9,"Ma Meilleure Ennemie (from the series Arcane League of Legends)","Arcane, Stromae, Pomme","","","",""
"Ottawa","2025-01-09",2025,"Jan",93,8,"Good News","Shaboozey","","","",""
"Ottawa","2025-01-09",2025,"Jan",94,7,"you look like you love me (feat. Riley Green)","Ella Langley, Riley Green","","","",""
"Ottawa","2025-01-09",2025,"Jan",95,6,"Every Breath You Take","The Police","","","",""
"Ottawa","2025-01-09",2025,"Jan",96,5,"Iris","The Goo Goo Dolls","","","",""
"Ottawa","2025-01-09",2025,"Jan",97,4,"Worst Way","Riley Green","","","",""
"Ottawa","2025-01-09",2025,"Jan",98,3,"A Lot More Free","Max McNown","","","",""
"Ottawa","2025-01-09",2025,"Jan",99,2,"Sun to Me","Zach Bryan","","","",""
"Ottawa","2025-01-09",2025,"Jan",100,1,"One Last Breath","Creed","","","",""
"Ottawa","2025-01-16",2025,"Jan",1,100,"That’s So True","Gracie Abrams","","","",""
"Ottawa","2025-01-16",2025,"Jan",2,99,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"Ottawa","2025-01-16",2025,"Jan",3,98,"APT.","ROSÉ, Bruno Mars","","","",""
"Ottawa","2025-01-16",2025,"Jan",4,97,"A Bar Song (Tipsy)","Shaboozey","","","",""
"Ottawa","2025-01-16",2025,"Jan",5,96,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"Ottawa","2025-01-16",2025,"Jan",6,95,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","","","",""
"Ottawa","2025-01-16",2025,"Jan",7,94,"Messy","Lola Young","","","",""
"Ottawa","2025-01-16",2025,"Jan",8,93,"Lose Control","Teddy Swims","","","",""
"Ottawa","2025-01-16",2025,"Jan",9,92,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"Ottawa","2025-01-16",2025,"Jan",10,91,"Love Somebody","Morgan Wallen","","","",""
"Ottawa","2025-01-16",2025,"Jan",11,90,"Sailor Song","Gigi Perez","","","",""
"Ottawa","2025-01-16",2025,"Jan",12,89,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"Ottawa","2025-01-16",2025,"Jan",13,88,"Good Luck, Babe!","Chappell Roan","","","",""
"Ottawa","2025-01-16",2025,"Jan",14,87,"Beautiful Things","Benson Boone","","","",""
"Ottawa","2025-01-16",2025,"Jan",15,86,"Stick Season","Noah Kahan","","","",""
"Ottawa","2025-01-16",2025,"Jan",16,85,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"Ottawa","2025-01-16",2025,"Jan",17,84,"Smile","Morgan Wallen","","","",""
"Ottawa","2025-01-16",2025,"Jan",18,83,"Espresso","Sabrina Carpenter","","","",""
"Ottawa","2025-01-16",2025,"Jan",19,82,"Indigo (feat. Avery Anna)","Sam Barber, Avery Anna","","","",""
"Ottawa","2025-01-16",2025,"Jan",20,81,"Taste","Sabrina Carpenter","","","",""
"Ottawa","2025-01-16",2025,"Jan",21,80,"I Love You, I'm Sorry","Gracie Abrams","","","",""
"Ottawa","2025-01-16",2025,"Jan",22,79,"Too Sweet","Hozier","","","",""
"Ottawa","2025-01-16",2025,"Jan",23,78,"Pink Skies","Zach Bryan","","","",""
"Ottawa","2025-01-16",2025,"Jan",24,77,"BMF","SZA","","","",""
"Ottawa","2025-01-16",2025,"Jan",25,76,"NUEVAYoL","Bad Bunny","","","",""
"Ottawa","2025-01-16",2025,"Jan",26,75,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"Ottawa","2025-01-16",2025,"Jan",27,74,"Tweaker","GELO","","","",""
"Ottawa","2025-01-16",2025,"Jan",28,73,"Last Night","Morgan Wallen","","","",""
"Ottawa","2025-01-16",2025,"Jan",29,72,"Austin (Boots Stop Workin')","Dasha","","","",""
"Ottawa","2025-01-16",2025,"Jan",30,71,"DtMF","Bad Bunny","","","",""
"Ottawa","2025-01-16",2025,"Jan",31,70,"No Pole","Don Toliver","","","",""
"Ottawa","2025-01-16",2025,"Jan",32,69,"Stargazing","Myles Smith","","","",""
"Ottawa","2025-01-16",2025,"Jan",33,68,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan, Kacey Musgraves","","","",""
"Ottawa","2025-01-16",2025,"Jan",34,67,"Cowgirls","Morgan Wallen, ERNEST","","","",""
"Ottawa","2025-01-16",2025,"Jan",35,66,"Take Me to Church","Hozier","","","",""
"Ottawa","2025-01-16",2025,"Jan",36,65,"Ain't No Love In Oklahoma (From Twisters: The Album)","Luke Combs","","","",""
"Ottawa","2025-01-16",2025,"Jan",37,64,"squabble up","Kendrick Lamar","","","",""
"Ottawa","2025-01-16",2025,"Jan",38,63,"Please Please Please","Sabrina Carpenter","","","",""
"Ottawa","2025-01-16",2025,"Jan",39,62,"Something in the Orange","Zach Bryan","","","",""
"Ottawa","2025-01-16",2025,"Jan",40,61,"WILDFLOWER","Billie Eilish","","","",""
"Ottawa","2025-01-16",2025,"Jan",41,60,"Fast Car","Luke Combs","","","",""
"Ottawa","2025-01-16",2025,"Jan",42,59,"Not Like Us","Kendrick Lamar","","","",""
"Ottawa","2025-01-16",2025,"Jan",43,58,"Heading South","Zach Bryan","","","",""
"Ottawa","2025-01-16",2025,"Jan",44,57,"When It Rains It Pours","Luke Combs","","","",""
"Ottawa","2025-01-16",2025,"Jan",45,56,"Miles On It","Marshmello, Kane Brown","","","",""
"Ottawa","2025-01-16",2025,"Jan",46,55,"Don't Stop Believin' (2022 Remaster)","Journey","","","",""
"Ottawa","2025-01-16",2025,"Jan",47,54,"Slow It Down","Benson Boone","","","",""
"Ottawa","2025-01-16",2025,"Jan",48,53,"BAILE INoLVIDABLE","Bad Bunny","","","",""
"Ottawa","2025-01-16",2025,"Jan",49,52,"Carry You Home","Alex Warren","","","",""
"Ottawa","2025-01-16",2025,"Jan",50,51,"Wind Up Missin’ You","Tucker Wetmore","","","",""
"Ottawa","2025-01-16",2025,"Jan",51,50,"The Door","Teddy Swims","","","",""
"Ottawa","2025-01-16",2025,"Jan",52,49,"Sweater Weather","The Neighbourhood","","","",""
"Ottawa","2025-01-16",2025,"Jan",53,48,"Where the Wild Things Are","Luke Combs","","","",""
"Ottawa","2025-01-16",2025,"Jan",54,47,"Mr. Brightside","The Killers","","","",""
"Ottawa","2025-01-16",2025,"Jan",55,46,"Bad Dreams","Teddy Swims","","","",""
"Ottawa","2025-01-16",2025,"Jan",56,45,"on one tonight","Gunna","","","",""
"Ottawa","2025-01-16",2025,"Jan",57,44,"Tennessee Whiskey","Chris Stapleton","","","",""
"Ottawa","2025-01-16",2025,"Jan",58,43,"Wake Me Up","Avicii","","","",""
"Ottawa","2025-01-16",2025,"Jan",59,42,"How You Remind Me","Nickelback","","","",""
"Ottawa","2025-01-16",2025,"Jan",60,41,"I Don't Wanna Wait","David Guetta, OneRepublic","","","",""
"Ottawa","2025-01-16",2025,"Jan",61,40,"DENIAL IS A RIVER","Doechii","","","",""
"Ottawa","2025-01-16",2025,"Jan",62,39,"HOT TO GO!","Chappell Roan","","","",""
"Ottawa","2025-01-16",2025,"Jan",63,38,"MILLION DOLLAR BABY","Tommy Richman","","","",""
"Ottawa","2025-01-16",2025,"Jan",64,37,"Pink Pony Club","Chappell Roan","","","",""
"Ottawa","2025-01-16",2025,"Jan",65,36,"Yellow","Coldplay","","","",""
"Ottawa","2025-01-16",2025,"Jan",66,35,"Viva La Vida","Coldplay","","","",""
"Ottawa","2025-01-16",2025,"Jan",67,34,"Like Him (feat. Lola Young)","Tyler, The Creator, Lola Young","","","",""
"Ottawa","2025-01-16",2025,"Jan",68,33,"Rock and A Hard Place","Bailey Zimmerman","","","",""
"Ottawa","2025-01-16",2025,"Jan",69,32,"Medusa","Cameron Whitcomb","","","",""
"Ottawa","2025-01-16",2025,"Jan",70,31,"Can't Hold Us (feat. Ray Dalton)","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","","","",""
